ruc	registrado	nombre_ppa	fecha_consulta
20531405723	true	COOPERATIVA DE SERVICIOS MULTIPLES ADISA NARANJOS	2026-09-20T00:32:24.606Z
20531441797	true	COOPERATIVA AGRARIA ALLIMA CACAO LTDA.	2026-09-20T00:32:24.606Z
20532561397	true	COMUNIDAD CAMPESINA SAN LORENZO DE CHOJATA	2026-09-20T00:32:24.606Z
20532737932	true	COMUNIDAD CAMPESINA DE ARUNTAYA	2026-09-20T00:32:24.606Z
20532800561	true	ASOCIACION DE FRUTICULTORES Y AGROINDUSTRIALES DEL VALLE CINTO LOCUMBA	2026-09-20T00:32:24.606Z
20532978204	true	ASOCIACION DE PRODUCTORES AGROINDUSTRIALES CORAGUAYA	2026-09-20T00:32:24.606Z
20533006346	true	ASOCIACION DE PRODUCTORES DE OREGANO MURALLA	2026-09-20T00:32:24.606Z
20533263233	true	ASOCIACION EMPRENDEDOR DE LOS ANDES	2026-09-20T00:32:24.606Z
20533718176	true	ASOCIACION PRODUCTORES AGROPECUARIOS SANTA ROSA DE KIMAN AYLLU	2026-09-20T00:32:24.606Z
20534142146	true	ASOCIACION DE PRODUCTORES Y COMERCIANTES DE TARA DE PUCHKA	2026-09-20T00:32:24.606Z
20534200952	true	ASOCIACION DE GANADEROS Y PRODUCTORES LACTEOS MUSUQ ALLPACHAKA	2026-09-20T00:32:24.606Z
20534487801	true	ASOCIACION DE PRODUCTORES AGROINDUSTRIALES EMPRENDEDORES DE PUYUSCA - INCUYO	2026-09-20T00:32:24.606Z
20534524774	true	COOPERATIVA AGRARIA TROPICAL ECOLOGICA DE KIMBIRI	2026-09-20T00:32:24.606Z
20534560223	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS TECNIFICADOS Y MULTISERVICIOS ARIZONA - APROATECMA	2026-09-20T00:32:24.606Z
20534598620	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS ORGANICOS DE OMAYA	2026-09-20T00:32:24.606Z
20534847352	true	COOPERATIVA AGRARIA DE PRODUCTORES ORGANICOS DE LA SIERRA	2026-09-20T00:32:24.606Z
20535132047	true	COMUNIDAD INDIGENA DE CCARHUANCHO	2026-09-20T00:32:24.606Z
20539205600	true	ASOCIACION DE PRODUCTORES Y EXPORTADORES DE CAFE RODRIGUEZ DE MENDOZA	2026-09-20T00:32:24.606Z
20539241665	true	ASOCIACION DE PRODUCTORES DE CAFES ORGANICOS Y CAFES ESPECIALES DE AMAZONAS	2026-09-20T00:32:24.606Z
20539280644	true	ASOCIACION DE PEQUEÑOS AGRICULTORES PARA LA PRODUCCION ECOLOGICA SAN MATEO DE PENACHI	2026-09-20T00:32:24.606Z
20539422881	true	COOPERATIVA DE SERVICIOS ESPECIALES ALPAQUEROS LOS WATAY PONCHOS DE CAYLLOMA - COSECAY	2026-09-20T00:32:24.606Z
20539619595	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS CORPAM	2026-09-20T00:32:24.606Z
20539644603	true	ASOCIACION DE PRODUCTORES PARA LA AGROEXPORTACION DE PUQUINA	2026-09-20T00:32:24.606Z
20541732706	true	SERVICIO PARA EL DESARROLLO INTEGRAL RURAL	2026-09-20T00:32:24.606Z
20542209951	true	COOPERATIVA AGRARIA VALLE GRANDE	2026-09-20T00:32:24.606Z
20542242222	true	COOPERATIVA AGROINDUSTRIAL DE CITRICULTORES - JUANJUI LTDA.	2026-09-20T00:32:24.606Z
20542251990	true	ASOCIACION DE MUJERES EMPRENDEDORAS DE NUEVO PROGRESO	2026-09-20T00:32:24.606Z
20542257416	true	EMPRESA INDUSTRIAL ORO VERDE SOCIEDAD ANONIMA CERRADA	2026-09-20T00:32:24.606Z
20542264544	true	COOPERATIVA AGRARIA VALLE DEL BIAVO LTDA	2026-09-20T00:32:24.606Z
20542289024	true	CUENCAS DEL HUALLAGA ASOCIACION DE PRODUCTORES AGROPECUARIOS	2026-09-20T00:32:24.606Z
20542299330	true	ASOCIACION DE PRODUCTORES AGROPECUARIOS DE SHUCUSHYACU FLOR DE CACAO	2026-09-20T00:32:24.606Z
20542311569	true	COOPERATIVA AGRARIA ACHUAR SHAKAIM LTDA	2026-09-20T00:32:24.606Z
20542380455	true	COOPERATIVA AGRARIA ECOFOREST	2026-09-20T00:32:24.606Z
20542482886	true	COOPERATIVA AGROINDUSTRIAL APCCA	2026-09-20T00:32:24.606Z
20542594251	true	ASOCIACION DE PRODUCTORES SIERRA MORENA DE SANTA ANA DE PUCUNAN - HERMANOS SANCHEZ C.	2026-09-20T00:32:24.606Z
20542617480	true	BIOINDUSTRIAS LACTEAS ESTRELLITA & BELEN EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA	2026-09-20T00:32:24.606Z
20542813742	true	ASOCIACION COMUNIDAD AGRARIA ARCA PACAHUARA	2026-09-20T00:32:24.606Z
20542817225	true	ASOCIACION DE CASTAÑEROS DE ALEGRIA - ASCA	2026-09-20T00:32:24.606Z
20542825163	true	COOPERATIVA AGRARIA CACAO FINO AGROBOSQUE	2026-09-20T00:32:24.606Z
20542827298	true	ASOCIACION DE AGRICULTORES AGROPECUARIOS DE LA COMUNIDAD EL PROGRESO	2026-09-20T00:32:24.606Z
20558183552	true	COOPERATIVA AGRARIA DE SERVICIOS ALPAQUEROS YURAC QORI TISCO - COOPASAY TISCO	2026-09-20T00:32:24.606Z
20559290336	true	CORPORACION ASOCIATIVA LA JOYA	2026-09-20T00:32:24.606Z
20561140091	true	COOPERATIVA AGRARIA ECOLOGICA CAFETALERA DE LONYA GRANDE	2026-09-20T00:32:24.606Z
20563823641	true	ASOCIACION PERUANA DE PRODUCTORES DE ALPACAS Y LLAMAS SPAR - DISTRITAL DE PALLPATA	2026-09-20T00:32:24.606Z
20563994453	true	COOPERATIVA AGRARIA ADIANES DE PHINAYA CUSCO - PERU	2026-09-20T00:32:24.606Z
20564032485	true	ASOCIACION DE PRODUCTORES ECOLOGICOS DE CACAO MEDIO URUBAMBA - IVOCHOTE	2026-09-20T00:32:24.606Z
20564152031	true	ASOCIACION DE ARTESANOS TRES ALPAQUITAS H&F	2026-09-20T00:32:24.606Z
20564218589	true	ASOCIACIÓN DE PRODUCTORES AGROPECUARIOS MI CULLAHUATA - VELILLE	2026-09-20T00:32:24.606Z
20567261523	true	ORGANIZACION DE MANEJO DE RECURSOS NATURALES BUENOS AIRES	2026-09-20T00:32:24.606Z
20568071281	true	COOPERATIVA AGRARIA CAFETALERA CEPRO YANESHA	2026-09-20T00:32:24.606Z
20568080948	true	CONSEJO REGULADOR DE LA DENOMINACION DE ORIGEN CAFE VILLA RICA - C.R.D.O. CAFE VILLA RICA	2026-09-20T00:32:24.606Z
20568190450	true	COOPERATIVA AGRARIA KEMITO ENE LTDA. - KEMITO ENE	2026-09-20T00:32:24.606Z
